timestamp,zone_id,building_id,floor,area_name,energy_kwh,energy_cost_usd,energy_anomaly_score,asset_id,asset_type,asset_health_score,asset_failure_risk_pct,room_id,current_occupancy,capacity,occupancy_pct,security_event_count,security_risk_level,combined_priority_score,primary_category,priority,recommended_action,annual_savings_usd
2026-03-01 08:25,ZONE-B2-F2,B2,2,Engineering Lab,32.27,4.52,0.22,CHIL-B22001,Chiller,87.0,13.0,R-B2202,6,15,40.0,1,Low,49.7,MAINTENANCE,Medium,Schedule emergency bearing lubrication on Chiller #02,943.52
2026-03-01 08:50,ZONE-B3-F3,B3,3,Open Workspace,64.37,9.01,0.06,AHU-B33002,AHU,95.4,4.6,R-B3303,2,15,13.3,3,Low,41.3,OCCUPANCY,Low,Consolidate open desks on Floor 3 to reduce thermal load,0.0
2026-03-01 09:15,ZONE-B1-F4,B1,4,Conference Hall,54.41,7.62,0.32,GENE-B14003,Generator,89.9,10.1,R-B1404,10,30,33.3,1,Low,22.6,SECURITY,Medium,Re-issue temporary visitor clearance passes,0.0
2026-03-01 09:40,ZONE-B2-F5,B2,5,Server Room,61.27,8.58,0.16,WATE-B25004,Water Pump,86.5,13.5,R-B2505,6,15,40.0,2,Low,39.6,ENERGY,Low,Optimize ventilation fan speeds during lunch breaks,3766.2
2026-03-01 10:05,ZONE-B3-F1,B3,1,Cafeteria,54.17,7.58,0.09,HVAC-B31005,HVAC Unit,74.5,25.5,R-B3106,5,30,16.7,3,Medium,27.7,MAINTENANCE,Low,Calibrate pressure sensor telemetry on Pump #04,692.9
2026-03-01 10:30,ZONE-B1-F2,B1,2,Research Wing,25.15,3.52,0.23,CHIL-B12006,Chiller,75.4,24.6,R-B1207,5,15,33.3,2,Low,43.5,MAINTENANCE,Low,Schedule emergency bearing lubrication on Chiller #02,2348.75
2026-03-01 10:55,ZONE-B2-F3,B2,3,Executive Suite,49.86,6.98,0.35,AHU-B23007,AHU,86.1,13.9,R-B2308,0,15,0.0,0,Low,30.8,MAINTENANCE,Medium,Replace worn HVAC air filter cartridges,2329.22
2026-03-01 11:20,ZONE-B3-F4,B3,4,Engineering Lab,42.4,5.94,0.06,GENE-B34008,Generator,88.2,11.8,R-B3409,0,15,0.0,3,Low,51.0,SECURITY,Low,Flag unverified badge ID attempt for security audit,0.0
2026-03-01 11:45,ZONE-B1-F5,B1,5,Open Workspace,38.71,5.42,0.17,WATE-B15009,Water Pump,76.9,23.1,R-B1510,10,15,66.7,0,Low,21.6,SECURITY,Medium,Review CCTV footage at Server Room entry point,0.0
2026-03-01 12:10,ZONE-B2-F1,B2,1,Conference Hall,36.08,5.05,0.02,HVAC-B21010,HVAC Unit,82.8,17.2,R-B2111,13,30,43.3,3,Medium,53.8,OCCUPANCY,Low,Consolidate open desks on Floor 3 to reduce thermal load,0.0
2026-03-01 12:35,ZONE-B3-F2,B3,2,Server Room,36.19,5.07,0.35,CHIL-B32011,Chiller,73.8,26.2,R-B3212,3,15,20.0,3,Low,28.6,MAINTENANCE,Medium,Calibrate pressure sensor telemetry on Pump #04,2360.57
2026-03-01 13:00,ZONE-B1-F3,B1,3,Cafeteria,48.53,6.79,0.02,AHU-B13012,AHU,89.8,10.2,R-B1313,16,30,53.3,3,Low,42.1,MAINTENANCE,Medium,Schedule emergency bearing lubrication on Chiller #02,3930.48
2026-03-01 13:25,ZONE-B2-F4,B2,4,Research Wing,61.51,8.61,0.16,GENE-B24013,Generator,77.6,22.4,R-B2414,8,15,53.3,3,Low,20.1,SECURITY,Medium,Re-issue temporary visitor clearance passes,0.0
2026-03-01 13:50,ZONE-B3-F5,B3,5,Executive Suite,34.92,4.89,0.31,WATE-B35014,Water Pump,85.8,14.2,R-B3515,2,15,13.3,1,Low,24.7,MAINTENANCE,Low,Inspect compressor vibration isolators immediately,921.47
2026-03-01 14:15,ZONE-B1-F1,B1,1,Engineering Lab,46.59,6.52,0.24,HVAC-B11015,HVAC Unit,91.6,8.4,R-B1101,8,15,53.3,2,Medium,32.0,MAINTENANCE,Medium,Calibrate pressure sensor telemetry on Pump #04,1396.32
2026-03-01 14:40,ZONE-B2-F2,B2,2,Open Workspace,47.04,6.59,0.04,CHIL-B22016,Chiller,83.0,17.0,R-B2202,9,15,60.0,0,Low,52.8,ENERGY,Medium,Inspect chilled water flow valves for leakage,1627.95
2026-03-01 15:05,ZONE-B3-F3,B3,3,Conference Hall,84.56,11.84,0.92,AHU-B33017,AHU,76.5,23.5,R-B3303,16,30,53.3,3,Low,82.1,ENERGY,Medium,Implement automated LED dimming schedule,2362.46
2026-03-01 15:30,ZONE-B1-F4,B1,4,Server Room,43.0,6.02,0.18,GENE-B14018,Generator,90.9,9.1,R-B1404,5,15,33.3,2,Low,27.6,MAINTENANCE,Medium,Inspect compressor vibration isolators immediately,1457.82
2026-03-01 15:55,ZONE-B2-F5,B2,5,Cafeteria,25.58,3.58,0.04,WATE-B25019,Water Pump,92.4,7.6,R-B2505,28,30,93.3,0,Low,74.9,OCCUPANCY,Medium,Consolidate open desks on Floor 3 to reduce thermal load,0.0
2026-03-01 16:20,ZONE-B3-F1,B3,1,Research Wing,40.17,5.62,0.17,HVAC-B31020,HVAC Unit,79.7,20.3,R-B3106,5,15,33.3,1,Medium,40.1,OCCUPANCY,Medium,Reallocate team meetings from overcrowded Conference Hall,0.0
2026-03-01 16:45,ZONE-B1-F2,B1,2,Executive Suite,63.68,8.92,0.0,CHIL-B12021,Chiller,75.1,24.9,R-B1207,8,15,53.3,2,Low,48.2,OCCUPANCY,Medium,Consolidate open desks on Floor 3 to reduce thermal load,0.0
2026-03-01 17:10,ZONE-B2-F3,B2,3,Engineering Lab,47.07,6.59,0.16,AHU-B23022,AHU,90.2,9.8,R-B2308,3,15,20.0,2,Low,52.3,OCCUPANCY,Medium,Stagger cafeteria lunch shifts to prevent density spikes,0.0
2026-03-01 17:35,ZONE-B3-F4,B3,4,Open Workspace,67.5,9.45,0.26,GENE-B34023,Generator,33.0,67.0,R-B3409,0,15,0.0,0,Low,80.3,MAINTENANCE,High,Inspect compressor vibration isolators immediately,1977.83
2026-03-01 18:00,ZONE-B1-F5,B1,5,Conference Hall,50.69,7.1,0.33,WATE-B15024,Water Pump,80.9,19.1,R-B1510,9,30,30.0,1,Low,37.4,MAINTENANCE,Low,Replace worn HVAC air filter cartridges,2147.32
2026-03-01 18:25,ZONE-B2-F1,B2,1,Server Room,39.6,5.54,0.01,HVAC-B21025,HVAC Unit,84.2,15.8,R-B2111,0,15,0.0,1,Medium,45.5,ENERGY,Low,Adjust HVAC setpoints by +2°C during non-peak hours,656.39
2026-03-01 18:50,ZONE-B3-F2,B3,2,Cafeteria,39.07,5.47,0.14,CHIL-B32026,Chiller,94.3,5.7,R-B3212,12,30,40.0,0,Low,50.1,ENERGY,Medium,Inspect chilled water flow valves for leakage,3905.92
2026-03-01 19:15,ZONE-B1-F3,B1,3,Research Wing,45.16,6.32,0.01,AHU-B13027,AHU,95.8,4.2,R-B1313,6,15,40.0,1,Low,40.1,SECURITY,Low,Flag unverified badge ID attempt for security audit,0.0
2026-03-01 19:40,ZONE-B2-F4,B2,4,Executive Suite,53.08,7.43,0.2,GENE-B24028,Generator,77.6,22.4,R-B2414,5,15,33.3,0,Low,51.1,MAINTENANCE,Medium,Calibrate pressure sensor telemetry on Pump #04,3216.43
2026-03-01 20:05,ZONE-B3-F5,B3,5,Engineering Lab,52.43,7.34,0.02,WATE-B35029,Water Pump,80.6,19.4,R-B3515,3,15,20.0,2,Low,32.5,ENERGY,Low,Inspect chilled water flow valves for leakage,2723.79
2026-03-01 20:30,ZONE-B1-F1,B1,1,Open Workspace,37.36,5.23,0.22,HVAC-B11030,HVAC Unit,74.7,25.3,R-B1101,6,15,40.0,0,Medium,48.3,ENERGY,Medium,Inspect chilled water flow valves for leakage,2861.4
2026-03-01 20:55,ZONE-B2-F2,B2,2,Conference Hall,26.75,3.75,0.13,CHIL-B22031,Chiller,86.3,13.7,R-B2202,15,30,50.0,6,High,75.2,SECURITY,High,Re-issue temporary visitor clearance passes,0.0
2026-03-01 21:20,ZONE-B3-F3,B3,3,Server Room,38.47,5.39,0.33,AHU-B33032,AHU,73.2,26.8,R-B3303,2,15,13.3,2,Low,43.2,SECURITY,Medium,Lock down restricted laboratory entry door,0.0
2026-03-01 21:45,ZONE-B1-F4,B1,4,Cafeteria,38.51,5.39,0.1,GENE-B14033,Generator,79.1,20.9,R-B1404,6,30,20.0,0,Low,34.1,ENERGY,Low,Optimize ventilation fan speeds during lunch breaks,2120.49
2026-03-01 22:10,ZONE-B2-F5,B2,5,Research Wing,66.25,9.28,0.92,WATE-B25034,Water Pump,81.7,18.3,R-B2505,4,15,26.7,2,Low,78.4,ENERGY,Medium,Optimize ventilation fan speeds during lunch breaks,4010.28
2026-03-01 22:35,ZONE-B3-F1,B3,1,Executive Suite,60.36,8.45,0.02,HVAC-B31035,HVAC Unit,81.1,18.9,R-B3106,2,15,13.3,1,Medium,28.6,MAINTENANCE,Medium,Replace worn HVAC air filter cartridges,3674.54
2026-03-01 23:00,ZONE-B1-F2,B1,2,Engineering Lab,55.87,7.82,0.27,CHIL-B12036,Chiller,80.2,19.8,R-B1207,10,15,66.7,0,Low,36.3,SECURITY,Medium,Flag unverified badge ID attempt for security audit,0.0
2026-03-01 23:25,ZONE-B2-F3,B2,3,Open Workspace,68.78,9.63,0.21,AHU-B23037,AHU,91.4,8.6,R-B2308,8,15,53.3,2,Low,22.2,ENERGY,Low,Adjust HVAC setpoints by +2°C during non-peak hours,779.96
2026-03-01 23:50,ZONE-B3-F4,B3,4,Conference Hall,58.52,8.19,0.02,GENE-B34038,Generator,94.2,5.8,R-B3409,28,30,93.3,2,Low,61.0,OCCUPANCY,Medium,Consolidate open desks on Floor 3 to reduce thermal load,0.0
2026-03-02 00:15,ZONE-B1-F5,B1,5,Server Room,35.89,5.02,0.09,WATE-B15039,Water Pump,76.4,23.6,R-B1510,10,15,66.7,3,Low,41.7,SECURITY,Low,Re-issue temporary visitor clearance passes,0.0
2026-03-02 00:40,ZONE-B2-F1,B2,1,Cafeteria,69.72,9.76,0.1,HVAC-B21040,HVAC Unit,78.1,21.9,R-B2111,9,30,30.0,1,Medium,50.7,ENERGY,Low,Optimize ventilation fan speeds during lunch breaks,2681.09
2026-03-02 01:05,ZONE-B3-F2,B3,2,Research Wing,30.77,4.31,0.16,CHIL-B32041,Chiller,74.5,25.5,R-B3212,10,15,66.7,1,Low,29.5,ENERGY,Medium,Optimize ventilation fan speeds during lunch breaks,3980.56
2026-03-02 01:30,ZONE-B1-F3,B1,3,Executive Suite,64.14,8.98,0.02,AHU-B13042,AHU,72.8,27.2,R-B1313,0,15,0.0,0,Low,26.5,ENERGY,Medium,Inspect chilled water flow valves for leakage,4222.15
