asset_id,asset_name,asset_type,building_id,floor,installation_date,operating_hours,temperature,vibration,pressure,energy_consumption,last_maintenance_date,maintenance_count,failure_count,current_status,health_score,next_maintenance_due
GEN-B12001,Generator #001,Generator,B1,2,2024-03-02,14821,60.5,4.05,55.0,73.1,2026-04-14,17,0,Critical,46.9,2026-08-04
GEN-B13002,Generator #002,Generator,B1,3,2021-03-01,14377,36.3,1.0,52.5,21.2,2026-05-12,21,2,Good,76.0,2026-09-03
GEN-B23003,Generator #003,Generator,B2,3,2023-08-04,6818,51.6,1.85,52.8,44.1,2026-06-05,9,0,Good,83.1,2026-11-06
PUMP-B34004,Water Pump #004,Water Pump,B3,4,2019-06-01,15909,36.6,1.66,57.8,19.7,2026-05-25,13,4,Warning,63.2,2026-08-05
GEN-B34005,Generator #005,Generator,B3,4,2020-10-03,3163,36.0,1.28,52.3,19.9,2026-06-20,5,2,Good,86.9,2026-12-24
PUMP-B13006,Water Pump #006,Water Pump,B1,3,2021-11-26,2497,87.3,6.53,19.8,113.3,2026-03-08,17,8,Critical,5.0,2026-08-09
HVAC-B32007,HVAC Unit #007,HVAC Unit,B3,2,2024-12-24,8489,38.4,1.4,42.1,40.7,2026-01-07,20,6,Warning,61.7,2026-08-11
AHU-B12008,Air Handling Unit #008,Air Handling Unit,B1,2,2019-03-19,7896,46.5,1.16,53.5,20.1,2026-02-20,8,4,Good,70.7,2026-10-10
ELEV-B34009,Elevator #009,Elevator,B3,4,2024-04-09,16967,35.4,1.39,50.1,36.3,2026-07-05,3,2,Good,73.5,2026-12-01
CTWR-B21010,Cooling Tower #010,Cooling Tower,B2,1,2021-10-18,6206,39.6,1.15,46.5,30.6,2026-04-03,18,5,Warning,69.0,2026-09-03
COMP-B12011,Compressor #011,Compressor,B1,2,2020-01-01,17606,40.3,1.31,53.9,24.7,2026-03-21,12,3,Warning,67.9,2026-08-07
HVAC-B14012,HVAC Unit #012,HVAC Unit,B1,4,2023-03-07,15496,67.3,3.82,49.5,66.0,2026-06-02,9,6,Critical,10.7,2026-09-15
CTWR-B32013,Cooling Tower #013,Cooling Tower,B3,2,2020-08-02,13042,45.9,1.76,46.2,27.0,2026-06-05,21,5,Warning,59.1,2026-09-04
AHU-B11014,Air Handling Unit #014,Air Handling Unit,B1,1,2019-11-23,13794,50.0,1.53,45.0,26.0,2026-07-14,13,5,Warning,55.8,2026-09-12
ELEV-B35015,Elevator #015,Elevator,B3,5,2024-07-19,11291,67.4,2.98,55.4,68.5,2026-03-27,14,6,Critical,21.8,2026-08-05
GEN-B34016,Generator #016,Generator,B3,4,2024-05-01,6718,47.5,1.35,48.7,21.5,2026-04-06,16,0,Healthy,90.7,2026-10-12
